
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年01月01日","2026年06月23日","90","1","90"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/01/26","テルモ","4543","東証",株式現物買,"--"," 一般 ","--",300,2121.5,--,--,"2026/01/28",636450
"2026/01/29","ＬＩＮＥヤフー","4689","東証",株式現物買,"--"," 一般 ","--",800,393.6,--,--,"2026/02/02",314880
"2026/01/29","ＬＩＮＥヤフー","4689","東証（外）",株式現物買,"--"," 一般 ","--",100,393.6,--,--,"2026/02/02",39360
"2026/01/29","ＬＩＮＥヤフー","4689","PTS（X）",株式現物買,"--"," 一般 ","--",200,393.6,--,--,"2026/02/02",78720
"2026/01/29","ＬＩＮＥヤフー","4689","PTS（O）",株式現物買,"--"," 一般 ","--",1400,393.6,--,--,"2026/02/02",551040
"2026/02/05","サイバーエージェント","4751","東証",株式現物買,"--"," 一般 ","--",1000,1270,--,--,"2026/02/09",1270000
"2026/02/05","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",200,8829,--,--,"2026/02/09",1765800
"2026/02/13","ＳＨＩＦＴ","3697","東証",株式現物買,"--"," 一般 ","--",1000,625,--,--,"2026/02/17",625000
"2026/02/13","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",100,8479,--,--,"2026/02/17",847900
"2026/02/24","ＳＨＩＦＴ","3697","PTS（J）",株式現物買,"--"," 一般 ","--",200,592.7,--,--,"2026/02/26",118540
"2026/02/24","ＳＨＩＦＴ","3697","PTS（X）",株式現物買,"--"," 一般 ","--",100,592.7,--,--,"2026/02/26",59270
"2026/02/24","ＳＨＩＦＴ","3697","東証",株式現物買,"--"," 一般 ","--",1700,592.7,--,--,"2026/02/26",1007590
"2026/02/27","サイバーエージェント","4751","東証",株式現物買,"--"," 一般 ","--",1000,1378,--,--,"2026/03/03",1378000
"2026/03/02","ヒット","378A","東証",株式現物買,"--"," 一般 ","--",800,2338,--,--,"2026/03/04",1870400
"2026/03/04","サイバーエージェント","4751","東証",株式現物買,"--"," 一般 ","--",2000,1228,--,--,"2026/03/06",2456000
"2026/03/06","ヤクルト本社","2267","PTS（O）",株式現物買,"--"," 一般 ","--",100,2589.8,--,--,"2026/03/10",258980
"2026/03/06","ヤクルト本社","2267","PTS（O）",株式現物買,"--"," 一般 ","--",400,2589.9,--,--,"2026/03/10",1035960
"2026/03/06","ヤクルト本社","2267","PTS（X）",株式現物買,"--"," 一般 ","--",400,2589.9,--,--,"2026/03/10",1035960
"2026/03/06","ヤクルト本社","2267","東証（外）",株式現物買,"--"," 一般 ","--",100,2589.8,--,--,"2026/03/10",258980
"2026/03/06","ダイフク","6383","東証",株式現物買,"--"," 一般 ","--",300,5733,--,--,"2026/03/10",1719900
"2026/03/09","小松製作所","6301","東証",株式現物買,"--"," 一般 ","--",100,6504,--,--,"2026/03/11",650400
"2026/03/10","ダイフク","6383","東証",株式現物買,"--"," 一般 ","--",500,5582,--,--,"2026/03/12",2791000
